Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Arte Contemporânea (Geral),78001,HIS2021,TP1 - ZOOM,S1,Maria João Quintas Lopes Baptista Neto,,,,17:00-18:30,,
Arte Contemporânea (Geral),78001,HIS2021,TP1A,S1,Maria João Quintas Lopes Baptista Neto,15:30-17:00,,,,,
Arte Contemporânea (Geral),78001,HIS2021,TP1B,S1,Maria João Quintas Lopes Baptista Neto,17:00-18:30,,,,,
Arte Contemporânea (Portugal),78012,HIS2022,TP1 - ZOOM,S1,Clara Maria Martins de Moura Soares,,,,15:30-17:00,,
Arte Contemporânea (Portugal),78012,HIS2022,TP1A,S1,Clara Maria Martins de Moura Soares,,,14:00-15:30,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Arte Contemporânea (Portugal),78012,HIS2022,TP1B,S1,Clara Maria Martins de Moura Soares,,,15:30-17:00,,,
Arte da Antiguidade Tardia e Islâmica,77733,HIS2023,TP1 - ZOOM,S2,Joaquim Manuel Rodrigues dos Santos,09:30-11:00,,,,,
Arte da Antiguidade Tardia e Islâmica,77733,HIS2023,TP1A,S2,Joaquim Manuel Rodrigues dos Santos,,11:00-12:30,,,,
Arte da Antiguidade Tardia e Islâmica,77733,HIS2023,TP1B,S2,Joaquim Manuel Rodrigues dos Santos,,12:30-14:00,,,,
Arte do Barroco e Rococó,77738,HIS2024,TP1 - ZOOM,S2,Teresa Leonor Magalhães do Vale,,,14:00-15:30,,,
Arte do Barroco e Rococó,77738,HIS2024,TP1A,S2,Teresa Leonor Magalhães do Vale,12:30-14:00,,,,,
Arte do Barroco e Rococó,77738,HIS2024,TP1B,S2,Teresa Leonor Magalhães do Vale,14:00-15:30,,,,,
Arte do Barroco e Rococó em Portugal,77739,HIS2025,TP1 - ZOOM,S2,Teresa Leonor Magalhães do Vale,,,12:30-14:00,,,
Arte do Barroco e Rococó em Portugal,77739,HIS2025,TP1A,S2,Teresa Leonor Magalhães do Vale,,12:30-14:00,,,,
Arte do Barroco e Rococó em Portugal,77739,HIS2025,TP1B,S2,Teresa Leonor Magalhães do Vale,,14:00-15:30,,,,
Arte do Modernismo ao Contemporâneo,77742,HIS2026,TP1 - ZOOM,S2,Pedro Miguel Abelha da Lapa Almeida,,,,14:00-15:30,,
Arte do Modernismo ao Contemporâneo,77742,HIS2026,TP1A,S2,Pedro Miguel Abelha da Lapa Almeida,14:00-15:30,,,,,
Arte do Modernismo ao Contemporâneo,77742,HIS2026,TP1B,S2,Pedro Miguel Abelha da Lapa Almeida,15:30-17:00,,,,,
Arte do Modernismo ao Contemporâneo em Portugal,77743,HIS2027,TP1 - ZOOM,S2,Pedro Miguel Abelha da Lapa Almeida,,,14:00-15:30,,,
Arte do Modernismo ao Contemporâneo em Portugal,77743,HIS2027,TP1A,S2,Pedro Miguel Abelha da Lapa Almeida,,14:00-15:30,,,,
Arte do Modernismo ao Contemporâneo em Portugal,77743,HIS2027,TP1B,S2,Pedro Miguel Abelha da Lapa Almeida,,15:30-17:00,,,,
Arte do Neoclassicismo ao Naturalismo em Portugal,77741,HIS2028,TP1 - ZOOM,S1,Clara Maria Martins de Moura Soares,,,,15:30-17:00,,
Arte do Neoclassicismo ao Naturalismo em Portugal,77741,HIS2028,TP1A,S1,Clara Maria Martins de Moura Soares,,,14:00-15:30,,,
Arte do Neoclassicismo ao Naturalismo em Portugal,77741,HIS2028,TP1B,S1,Clara Maria Martins de Moura Soares,,,15:30-17:00,,,
Arte do Neoclassicismo ao Pós-Impressionismo,77740,HIS2029,TP1 - ZOOM,S1,Maria João Quintas Lopes Baptista Neto,,,,17:00-18:30,,
Arte do Neoclassicismo ao Pós-Impressionismo,77740,HIS2029,TP1A,S1,Maria João Quintas Lopes Baptista Neto,15:30-17:00,,,,,
Arte do Neoclassicismo ao Pós-Impressionismo,77740,HIS2029,TP1B,S1,Maria João Quintas Lopes Baptista Neto,17:00-18:30,,,,,
Arte do Renascimento e do Maneirismo,77736,HIS2030,TP1 - ZOOM,S1,Fernando Jorge Artur Grilo,,08:00-09:30,,,,
Arte do Renascimento e do Maneirismo,77736,HIS2030,TP1A,S1,Fernando Jorge Artur Grilo,,,08:00-09:30,,,
Arte do Renascimento e do Maneirismo,77736,HIS2030,TP1B,S1,Fernando Jorge Artur Grilo,,,09:30-11:00,,,
Arte do Renascimento e do Maneirismo em Portugal,77737,HIS2031,TP1 - ZOOM,S1,Vitor Manuel Guimarães Veríssimo Serrão,,11:00-12:30,,,,
Arte do Renascimento e do Maneirismo em Portugal,77737,HIS2031,TP1A,S1,Vitor Manuel Guimarães Veríssimo Serrão,,,,08:00-09:30,,
Arte do Renascimento e do Maneirismo em Portugal,77737,HIS2031,TP1B,S1,Vitor Manuel Guimarães Veríssimo Serrão,,,,09:30-11:00,,
Arte Medieval (Geral),77902,HIS2032,TP1 - ZOOM,S1,José Manuel Henriques Varandas,,,,,08:00-09:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Arte Medieval (Geral),77902,HIS2032,TP1A,S1,José Manuel Henriques Varandas,,,08:00-09:30,,,
Arte Medieval (Geral),77902,HIS2032,TP1B,S1,José Manuel Henriques Varandas,,,09:30-11:00,,,
Arte Medieval (Portugal),77913,HIS2033,TP1 - ZOOM,S1,Fernando Jorge Artur Grilo,,09:30-11:00,,,,
Arte Medieval (Portugal),77913,HIS2033,TP1A,S1,Fernando Jorge Artur Grilo,,,11:00-12:30,,,
